Pack,Year,Days,SA,Size,HR,Terr,%Coyote,SnowDepth,MooseDen,DeerHab,DomAncest,DKR,MKR,DKRC,MKRC,TKGC,Deer,Moose,Total,DKGC,MKGC,TKGC,DKRA,MKRA,KGCanid,KGKGD,KGKGM,KGKGT
Axe,2010,82,WMU49,5,142.345,142.345,0.6675,0.121529232,0.20554204,0.002001658,C,0.024390244,0.048780488,0.004878049,0.009756098,3.165853659,154,1144,1298,0.375609756,2.790243902,3.165853659,0.000171346,0.000342692,108.6,0.017293267,0.128464268,0.145757535
GCL,2010,121,WMU49,3,6.65605,6.65605,0.9165,0.093331375,0.14534272,0.079017285,C,0.033057851,0,0.011019284,0,0.484848485,176,0,176,0.484848485,0,0.484848485,0.004966587,0,64.01,0.022723722,0,0.022723722
HS,2010,70,WMU49,2,82.58398,82.58398,0.681,0.091187108,0.16534968,0.404417031,C,0.057142857,0,0.028571429,0,1.314285714,184,0,184,1.314285714,0,1.314285714,0.000691936,0,45.6,0.05764411,0,0.05764411
NY,2010,28,WMU49,6,23.769924,23.769924,0.951333333,0.156469606,0.2443896,0.129258932,C,0,0,0,0,0,0,0,0,0,0,0,0,0,43.8,0.087410307,0,0.087410307
Ripple,2010,70,WMU49,2,37.204178,37.204178,0.9,0.108199965,0.13275892,0.201205897,C,0.071428571,0,0.035714286,0,1.914285714,268,0,268,1.914285714,0,1.914285714,0.001919907,0,43.8,0.080003019,0.053964301,0.13396732
Skeleton,2010,121,WMU49,2,46.358468,46.358468,0.936,0.093331375,0.0692674,0.042054647,C,0.049586777,0.008264463,0.024793388,0.004132231,2.933884298,424,286,710,1.752066116,1.181818182,2.933884298,0.001069638,0.000178273,83.36,0.040408122,0,0.040408122
Turtle,2010,38,WMU49,4,82.674471,53.2134,0.947,0.149671017,0.13454864,0.083406642,C,0.078947368,0,0.019736842,0,0.842105263,128,0,128,0.842105263,0,0.842105263,0.001483599,0,46.1,0.140068175,0,0.140068175
Wier,2010,70,WMU49,2,93.327153,82.2944,0.623,0.091187108,0.07753952,0.166005021,C,0.064285714,0,0.064285714,0,3.228571429,452,0,452,3.228571429,0,3.228571429,0.000781168,0,45.6,0.136028477,0,0.136028477
Wolf,2010,69,WMU49,2,99.419981,26.4602,0.7,0.126030398,0.30963356,0.463978735,C,0.130434783,0,0.065217391,0,3.101449275,428,0,428,3.101449275,0,3.101449275,0.004929471,0,127.12,0,0,0
Achray,2006,64,APP,6,502.455,106.981,0.0475,0.214827305,0.083667,0.587091381,W,0.1875,0.03125,0.03125,0.005208333,2.2578125,611,256,867,1.591145833,0.666666667,2.2578125,0.001752648,0.000292108,160.4,0.059519171,0.024937656,0.084456827
