Species,Abund,SciName,Taxa1,Taxa2,Taxa3,BM,"Birthing (1=hider, 2=follower)",Group,Threat,Temp,Rain,D,Prey,PreyOffset,PreyEst,logD,logAb,logPrey,Deer,WRSU,BioregionNo,Bioregion,Site,Site#,State,Coywolf,Period,Years,Duration,Country,Method,N,PopDens,HR,CoyoteBM,Wolf,Puma,Carnivores,Latitude,Longitude,Study,NA
Invertebrates,NA,NA,NA,NA,Invertebrates,0.005,NA,1,0,11,293,NA,0,0,0,NA,NA,0,Deer,Wilderness,10.1.7,Desert,Sevilleta National Wildlife Refuge,472,New Mexico,0,Spring,1994,0.25,USA,Scats,20,NA,NA,NA,0,1,6,34.3417,-106.973318,Hernandez et al 2002,NA
Pronghorn,NA,Antilocapra americana,NA,Ungulates,Mammals,46.0829,1,4,2,11,293,NA,0,0,0,NA,NA,0,Deer,Wilderness,10.1.7,Desert,Sevilleta National Wildlife Refuge,472,New Mexico,0,Spring,1994,0.25,USA,Scats,20,NA,NA,NA,0,1,6,34.3417,-106.973318,Hernandez et al 2002,NA
Birds,NA,NA,NA,NA,Birds,0.2,NA,NA,NA,11,293,NA,0,0,0,NA,NA,0,Deer,Wilderness,10.1.7,Desert,Sevilleta National Wildlife Refuge,472,New Mexico,0,Spring,1994,0.25,USA,Scats,20,NA,NA,NA,0,1,6,34.3417,-106.973318,Hernandez et al 2002,NA
Pronghorn,NA,Antilocapra americana,NA,Ungulates,Mammals,46.0829,1,4,2,11,293,NA,0,0,0,NA,NA,0,Deer,Wilderness,10.1.7,Desert,Sevilleta National Wildlife Refuge,466,New Mexico,0,Summer,1992,0.25,USA,Scats,20,NA,NA,NA,0,1,6,34.3417,-106.973318,Hernandez et al 2002,NA
Birds,NA,NA,NA,NA,Birds,0.2,NA,NA,NA,11,293,NA,0,0,0,NA,NA,0,Deer,Wilderness,10.1.7,Desert,Sevilleta National Wildlife Refuge,466,New Mexico,0,Summer,1992,0.25,USA,Scats,20,NA,NA,NA,0,1,6,34.3417,-106.973318,Hernandez et al 2002,NA
"Mouse, deer",0.051279997,Peromyscus maniculatus,Mouse,Rodents,Mammals,0.0213,NA,1,0,8,277,-1,0,0,6,-7,0.021718401,0,No deer,Rural,10.1.5,Desert,Curlew Valley,178,Utah,0,Fall,1979,0.25,USA,Scats,28,24,NA,NA,0,0,6,41.7077,-112.866644,Bartel 2003; Bartel & Knowlton 2005; Bartel et al 2008; Davison 1980; Mills & Knowlton 1991,NA
"Mouse, Great Basin pocket",0.0048075,Perognathus parvus,Mouse,Rodents,Mammals,0.0218,NA,1,0,8,277,-1,0,0,6,-6,0.002082868,0,No deer,Rural,10.1.5,Desert,Curlew Valley,178,Utah,0,Fall,1979,0.25,USA,Scats,28,24,NA,NA,0,0,6,41.7077,-112.866644,Bartel 2003; Bartel & Knowlton 2005; Bartel et al 2008; Davison 1980; Mills & Knowlton 1991,NA
NA,NA,NA,NA,NA,Reptiles,0.1,NA,1,0,11,293,NA,0,0,0,NA,NA,0,Deer,Wilderness,10.1.7,Desert,Sevilleta National Wildlife Refuge,469,New Mexico,0,Spring,1993,0.25,USA,Scats,28,NA,NA,NA,0,1,6,34.3417,-106.973318,Hernandez et al 2002,NA
"Deer, mule",NA,Odocoileus hemionus,Deer,Ungulates,Mammals,54.2126,1,3,2,11,293,NA,0,0,0,NA,NA,0,Deer,Wilderness,10.1.7,Desert,Sevilleta National Wildlife Refuge,469,New Mexico,0,Spring,1993,0.25,USA,Scats,28,NA,NA,NA,0,1,6,34.3417,-106.973318,Hernandez et al 2002,NA
Birds,NA,NA,NA,NA,Birds,0.2,NA,NA,NA,11,293,NA,0,0,0,NA,NA,0,Deer,Wilderness,10.1.7,Desert,Sevilleta National Wildlife Refuge,469,New Mexico,0,Spring,1993,0.25,USA,Scats,28,NA,NA,NA,0,1,6,34.3417,-106.973318,Hernandez et al 2002,NA
Invertebrates,NA,NA,NA,NA,Invertebrates,0.005,NA,NA,NA,11,293,NA,0,0,0,NA,NA,0,Deer,Wilderness,10.1.7,Desert,Sevilleta National Wildlife Refuge,469,New Mexico,0,Spring,1993,0.25,USA,Scats,28,NA,NA,NA,0,1,6,34.3417,-106.973318,Hernandez et al 2002,NA
Pronghorn,NA,Antilocapra americana,NA,Ungulates,Mammals,46.0829,1,4,2,11,293,NA,0,0,0,NA,NA,0,Deer,Wilderness,10.1.7,Desert,Sevilleta National Wildlife Refuge,464,New Mexico,0,Winter,1992,0.25,USA,Scats,30,NA,NA,NA,0,1,6,34.3417,-106.973318,Hernandez et al 2002,NA
Pronghorn,NA,Antilocapra americana,NA,Ungulates,Mammals,46.0829,1,4,2,11,293,NA,0,0,0,NA,NA,0,Deer,Wilderness,10.1.7,Desert,Sevilleta National Wildlife Refuge,465,New Mexico,0,Spring,1992,0.25,USA,Scats,33,NA,NA,NA,0,1,6,34.3417,-106.973318,Hernandez et al 2002,NA
"Deer, mule",NA,Odocoileus hemionus,Deer,Ungulates,Mammals,54.2126,1,3,2,11,293,NA,0,0,0,NA,NA,0,Deer,Wilderness,10.1.7,Desert,Sevilleta National Wildlife Refuge,470,New Mexico,0,Fall,1993,0.25,USA,Scats,35,NA,NA,NA,0,1,6,34.3417,-106.973318,Hernandez et al 2002,NA
Birds,NA,NA,NA,NA,Birds,0.2,NA,NA,NA,11,293,NA,0,0,0,NA,NA,0,Deer,Wilderness,10.1.7,Desert,Sevilleta National Wildlife Refuge,470,New Mexico,0,Fall,1993,0.25,USA,Scats,35,NA,NA,NA,0,1,6,34.3417,-106.973318,Hernandez et al 2002,NA
Grasshopper,NA,NA,NA,NA,Invertebrates,0.005,NA,1,0,10,298,NA,0,0,0,NA,NA,0.041392685,Deer,Rural,10.1.6,Desert,Southern Ute Indian Reservation,NA,Colorado,0,Annual,1977,1,USA,Scats,42,NA,NA,NA,0,1,NA,37.10768,-107.644,MacCracken 1981,NA
Jackrabbit,NA,Lepus spp.,Hares,Lagomorphs,Mammals,2.45,NA,1,0,10,298,NA,0,0,0,NA,NA,0.041392685,Deer,Rural,10.1.6,Desert,Southern Ute Indian Reservation,NA,Colorado,0,Annual,1977,1,USA,Scats,42,NA,NA,NA,0,1,NA,37.10768,-107.644,MacCracken 1981,NA
"Squirrel, ground",NA,NA,Squirrels,Rodents,Mammals,0.2,NA,1,0,10,298,NA,0,0,0,NA,NA,0.041392685,Deer,Rural,10.1.6,Desert,Southern Ute Indian Reservation,NA,Colorado,0,Annual,1977,1,USA,Scats,42,NA,NA,NA,0,1,NA,37.10768,-107.644,MacCracken 1981,NA
vole,NA,Microtus spp.,Voles,Rodents,Mammals,0.03,NA,1,0,10,298,NA,0,0,0,NA,NA,0.041392685,Deer,Rural,10.1.6,Desert,Southern Ute Indian Reservation,NA,Colorado,0,Annual,1977,1,USA,Scats,42,NA,NA,NA,0,1,NA,37.10768,-107.644,MacCracken 1981,NA
Woodpecker,NA,Piciformes,NA,NA,Birds,0.05,NA,1,0,10,298,NA,0,0,0,NA,NA,0.041392685,Deer,Rural,10.1.6,Desert,Southern Ute Indian Reservation,NA,Colorado,0,Annual,1977,1,USA,Scats,42,NA,NA,NA,0,1,NA,37.10768,-107.644,MacCracken 1981,NA
NA,NA,NA,Gophers,Rodents,Mammals,0.11,NA,1,0,10,298,NA,0,0,0,NA,NA,0.041392685,Deer,Rural,10.1.6,Desert,Southern Ute Indian Reservation,NA,Colorado,0,Annual,1977,1,USA,Scats,42,NA,NA,NA,0,1,NA,37.10768,-107.644,MacCracken 1981,NA
NA,NA,Columbiformes,Doves,NA,Birds,0.3,NA,3,0,10,298,NA,0,0,0,NA,NA,0.041392685,Deer,Rural,10.1.6,Desert,Southern Ute Indian Reservation,NA,Colorado,0,Annual,1977,1,USA,Scats,42,NA,NA,NA,0,1,NA,37.10768,-107.644,MacCracken 1981,NA
"Prairie dog, Gunnison's",NA,Cynomys gunnisoni,Prairie dogs,NA,Mammals,0.925,NA,5,0,10,298,NA,0,0,0,NA,NA,0.041392685,Deer,Rural,10.1.6,Desert,Southern Ute Indian Reservation,NA,Colorado,0,Annual,1977,1,USA,Scats,42,NA,NA,NA,0,1,NA,37.10768,-107.644,MacCracken 1981,NA
Horse,NA,Equus caballus,Livestock,Ungulates,Mammals,200,0,3,2,10,298,NA,0,0,0,NA,NA,0.041392685,Deer,Rural,10.1.6,Desert,Southern Ute Indian Reservation,NA,Colorado,0,Annual,1977,1,USA,Scats,42,NA,NA,NA,0,1,NA,37.10768,-107.644,MacCracken 1981,NA
pronghorn,NA,Antilocapra americana,NA,Ungulates,Mammals,46.0829,1,4,2,10,298,NA,0,0,0,NA,NA,0.041392685,Deer,Rural,10.1.6,Desert,Southern Ute Indian Reservation,NA,Colorado,0,Annual,1977,1,USA,Scats,42,NA,NA,NA,0,1,NA,37.10768,-107.644,MacCracken 1981,NA
NA,0.004909124,NA,NA,Lagomorphs,Mammals,2,NA,1,0,7,351,-1,0,0,3,-1,0.002126789,0,Deer,Rural,10.1.3,Desert,GMU 73A,192,Idaho,0,Winter,1998,0.25,USA,Stomachs,44,NA,NA,NA,0,1,4,42.2592,-112.233384,Hurley & Zager 2007; Hurley et al. 2011,NA
vole,NA,Microtus spp.,Voles,Rodents,Mammals,0.03,NA,1,0,10,298,NA,0,0,0,NA,NA,0.041392685,Deer,Rural,10.1.6,Desert,Cortez,NA,Colorado,0,Annual,1977,1,USA,Scats,44,NA,NA,NA,0,1,NA,37.38,-108.81,MacCracken 1981,NA
Woodpecker,NA,Piciformes,NA,NA,Birds,0.05,NA,1,0,10,298,NA,0,0,0,NA,NA,0.041392685,Deer,Rural,10.1.6,Desert,Cortez,NA,Colorado,0,Annual,1977,1,USA,Scats,44,NA,NA,NA,0,1,NA,37.38,-108.81,MacCracken 1981,NA
NA,NA,NA,Gophers,Rodents,Mammals,0.11,NA,1,0,10,298,NA,0,0,0,NA,NA,0.041392685,Deer,Rural,10.1.6,Desert,Cortez,NA,Colorado,0,Annual,1977,1,USA,Scats,44,NA,NA,NA,0,1,NA,37.38,-108.81,MacCracken 1981,NA
Songbirds,NA,Passeriformes,NA,NA,Birds,0.02,NA,3,0,10,298,NA,0,0,0,NA,NA,0.041392685,Deer,Rural,10.1.6,Desert,Cortez,NA,Colorado,0,Annual,1977,1,USA,Scats,44,NA,NA,NA,0,1,NA,37.38,-108.81,MacCracken 1981,NA
NA,NA,Columbiformes,Doves,NA,Birds,0.3,NA,3,0,10,298,NA,0,0,0,NA,NA,0.041392685,Deer,Rural,10.1.6,Desert,Cortez,NA,Colorado,0,Annual,1977,1,USA,Scats,44,NA,NA,NA,0,1,NA,37.38,-108.81,MacCracken 1981,NA
Coyote,NA,Canis latrans,Carnivora,NA,Mammals,13.4063,NA,1,2,10,298,NA,0,0,0,NA,NA,0.041392685,Deer,Rural,10.1.6,Desert,Cortez,NA,Colorado,0,Annual,1977,1,USA,Scats,44,NA,NA,NA,0,1,NA,37.38,-108.81,MacCracken 1981,NA
pronghorn,NA,Antilocapra americana,NA,Ungulates,Mammals,46.0829,1,4,2,10,298,NA,0,0,0,NA,NA,0.041392685,Deer,Rural,10.1.6,Desert,Cortez,NA,Colorado,0,Annual,1977,1,USA,Scats,44,NA,NA,NA,0,1,NA,37.38,-108.81,MacCracken 1981,NA
NA,NA,NA,NA,NA,Reptiles,0.1,NA,1,0,11,293,NA,0,0,0,NA,NA,0,Deer,Wilderness,10.1.7,Desert,Sevilleta National Wildlife Refuge,468,New Mexico,0,Winter,1993,0.25,USA,Scats,45,NA,NA,NA,0,1,6,34.3417,-106.973318,Hernandez et al 2002,NA
"Deer, mule",NA,Odocoileus hemionus,Deer,Ungulates,Mammals,54.2126,1,3,2,11,293,NA,0,0,0,NA,NA,0,Deer,Wilderness,10.1.7,Desert,Sevilleta National Wildlife Refuge,468,New Mexico,0,Winter,1993,0.25,USA,Scats,45,NA,NA,NA,0,1,6,34.3417,-106.973318,Hernandez et al 2002,NA
Pronghorn,NA,Antilocapra americana,NA,Ungulates,Mammals,46.0829,1,4,2,11,293,NA,0,0,0,NA,NA,0,Deer,Wilderness,10.1.7,Desert,Sevilleta National Wildlife Refuge,468,New Mexico,0,Winter,1993,0.25,USA,Scats,45,NA,NA,NA,0,1,6,34.3417,-106.973318,Hernandez et al 2002,NA
Birds,NA,NA,NA,NA,Birds,0.2,NA,NA,NA,11,293,NA,0,0,0,NA,NA,0,Deer,Wilderness,10.1.7,Desert,Sevilleta National Wildlife Refuge,468,New Mexico,0,Winter,1993,0.25,USA,Scats,45,NA,NA,NA,0,1,6,34.3417,-106.973318,Hernandez et al 2002,NA
Woodrat,NA,Neotoma spp.,Woodrats,Rodents,Mammals,0.239,NA,1,0,10,298,NA,0,0,0,NA,NA,0.041392685,Deer,Rural,10.1.6,Desert,Saguache,NA,Colorado,0,Annual,1977,1,USA,Scats,48,NA,NA,NA,0,1,NA,38.0875,-106.141967,MacCracken 1981,NA
NA,NA,NA,Squirrels,Rodents,Mammals,1,NA,1,0,10,298,NA,0,0,0,NA,NA,0.041392685,Deer,Rural,10.1.6,Desert,Saguache,NA,Colorado,0,Annual,1977,1,USA,Scats,48,NA,NA,NA,0,1,NA,38.0875,-106.141967,MacCracken 1981,NA
