Species,BM
Invertebrates,0.005
Pronghorn,46.0829
Birds,0.2
Pronghorn,46.0829
Birds,0.2
"Mouse, deer",0.0213
"Mouse, Great Basin pocket",0.0218
NA,0.1
"Deer, mule",54.2126
Birds,0.2
Invertebrates,0.005
Pronghorn,46.0829
Pronghorn,46.0829
"Deer, mule",54.2126
Birds,0.2
Grasshopper,0.005
Jackrabbit,2.45
"Squirrel, ground",0.2
vole,0.03
Woodpecker,0.05
NA,0.11
NA,0.3
"Prairie dog, Gunnison's",0.925
Horse,200
pronghorn,46.0829
NA,2
vole,0.03
Woodpecker,0.05
NA,0.11
Songbirds,0.02
NA,0.3
Coyote,13.4063
pronghorn,46.0829
NA,0.1
"Deer, mule",54.2126
Pronghorn,46.0829
Birds,0.2
Woodrat,0.239
NA,1
"Prairie dog, Gunnison's",0.925
Coyote,13.4063
Horse,200
"Beetle, scarab",0.08
Arachnids,0.005
Centipede,0.005
Garbage,0.1
Leaf-hoppers,0.001
"Mouse, Nelson's pocket",0.0158
"Mouse, white-footed",0.0212
Scorpions,0.005
"Squirrel, spotted ground",0.089
Weevils,0.001
Butterflies,0.002
Dragonflies,0.002
"wasps, bees, ants",0.001
"Hackberry, desert",NA
Lotebush,NA
Nightshade,NA
Tasajillo,NA
Watermelon,NA
"Mouse, deer",0.0213
NA,0.064
"Mouse, deer",0.0213
"Mouse, deer",0.0213
"Mouse, Great Basin pocket",0.0218
Arthropods,0.005
NA,0.064
"Mouse, deer",0.0213
"Mouse, western harvest",0.0094
"Jackrabbit, black-tailed",2.4225
"Deer, mule",54.2126
Pronghorn,46.0829
Arachnids,0.005
Centipede,0.005
Grasshopper,0.005
"Rat, Merriam's kangaroo",0.042
Weevils,0.001
Wood borer,0.005
Ants,0.001
Barrel cactus,NA
"Cactus, organ pipe",NA
"Cardon, giant",NA
Cholla,NA
Gumbo-limbo,NA
Mesquite,NA
Palo blanco,NA
Plum,NA
Range ratany,NA
Vomitbush,NA
"Beetle, darkling",0.005
Centipede,0.005
Garbage,0.1
"Gopher, southern pocket",0.166
Leaf-hoppers,0.001
"Mouse, harvest",0.0112
"Mouse, Nelson's pocket",0.0158
Scorpions,0.005
"Squirrel, spotted ground",0.089
Crickets,0.005
"wasps, bees, ants",0.001
"Deer, mule",54.2126
Legume,NA
Lotebush,NA
Nightshade,NA
Orange,NA
Prickly ash,NA
"Beetle, darkling",0.005
"Mouse, Eva's desert",0.022
Weevils,0.001
Wood borer,0.005
"Squirrel, white-tailed antelope",0.1205
Ants,0.001
"Cactus, organ pipe",NA
"Cardon, giant",NA
Date palm,NA
Mesquite,NA
Plum,NA
Range ratany,NA
Sour pitaya,NA
Vomitbush,NA
"Rabbit, cottontail",1
Lizards,NA
NA,0.2
NA,NA
NA,NA
Garbage,0.1
