cnt,uniqID,x,y,cur_b1,cur_b2,cur_b3,r45y50_b1,r45y50_b2,r45y50_b3,r85y50_b1,r85y50_b2,r85y50_b3,r45y70_b1,r45y70_b2,r45y70_b3,r85y70_b1,r85y70_b2,r85y70_b3
3161,Q1444,20.12501061,-26.62493255,-0.251448303,0.13359718,-0.17770952,-0.351553649,-0.262817174,0.003908174,-0.354791254,-0.269820154,-0.006724548,-0.324603885,-0.288131714,-0.012283199,-0.380031288,-0.29281801,-0.014457835
3162,Q1445,20.37501061,-26.62493255,-0.280098617,0.14026916,-0.226491168,-0.355507851,-0.269064128,-0.0244013,-0.365084678,-0.274296731,-0.016476352,-0.327242106,-0.292953938,-0.023356955,-0.393358082,-0.305092752,-0.024111556
3163,Q1446,20.62501061,-26.62493255,-0.266812176,0.156723067,-0.171969444,-0.358357161,-0.268196315,0.008955858,-0.373843819,-0.278606445,-0.005910659,-0.333732069,-0.293628871,-0.011824569,-0.400203824,-0.307760715,-0.014913833
3168,Q1451,21.87501061,-26.62493255,-0.285238236,0.151891828,-0.160966903,-0.306810319,-0.270943165,0.002555111,-0.333455622,-0.254336745,-0.007642498,-0.281552494,-0.232190579,-0.010207265,-0.353208631,-0.242971763,-0.013727723
3169,Q1452,22.12501061,-26.62493255,-0.299394727,0.149226099,-0.165773273,-0.320901752,-0.274316072,-0.014069142,-0.341440052,-0.269041747,-0.012527729,-0.293995291,-0.219276547,-0.014333546,-0.353661329,-0.231591925,-0.015635407
3170,Q1453,22.37501061,-26.62493255,-0.318502665,0.141537607,-0.171109155,-0.324272245,-0.273743749,-0.035263583,-0.348390371,-0.256817937,-0.020325257,-0.292846024,-0.204939917,-0.023813834,-0.355690628,-0.200024873,-0.021980589
3171,Q1454,22.62501061,-26.62493255,-0.32097131,0.125292137,-0.123827785,-0.305163205,-0.223902017,-0.03809284,-0.330960482,-0.197644696,-0.020919669,-0.284238547,-0.167801812,-0.023932507,-0.334388256,-0.164155081,-0.022456139
3172,Q1455,22.87501061,-26.62493255,-0.312393665,0.117887162,-0.103854954,-0.280246824,-0.191261292,-0.039763059,-0.301514357,-0.168151096,-0.020623935,-0.258803844,-0.140468508,-0.023262732,-0.316150129,-0.136384398,-0.020695075
3173,Q1456,23.12501061,-26.62493255,-0.273531616,0.108368762,-0.077144407,-0.253066868,-0.163908228,-0.041725386,-0.274238259,-0.14233987,-0.02089151,-0.235102132,-0.118304744,-0.023639956,-0.289137155,-0.109367765,-0.020152297
3174,Q1457,23.37501061,-26.62493255,-0.246585354,0.099138744,-0.051343869,-0.218448922,-0.143531948,-0.044687726,-0.246663302,-0.113373548,-0.020820053,-0.212589815,-0.097099558,-0.023906093,-0.266636074,-0.096778192,-0.020337371
3175,Q1458,23.62501061,-26.62493255,-0.212546363,0.099430069,-0.053456791,-0.192402065,-0.121785074,-0.04912797,-0.21919103,-0.100477785,-0.022365771,-0.188147664,-0.088259131,-0.025186554,-0.23749575,-0.084301442,-0.021122789
3176,Q1459,23.87501061,-26.62493255,-0.162635416,0.083965674,-0.008721314,-0.149734959,-0.110726133,-0.056189328,-0.173906013,-0.091916494,-0.024100132,-0.144274473,-0.068022355,-0.025924521,-0.194875494,-0.072671279,-0.021996332
3177,Q1460,24.12501061,-26.62493255,-0.103867568,0.081388138,-0.003855683,-0.097377479,-0.101261169,-0.066049874,-0.116870508,-0.078389466,-0.026844643,-0.091173977,-0.055913996,-0.028306739,-0.141626582,-0.061000451,-0.024296368
3178,Q1461,24.37501061,-26.62493255,-0.084289372,0.081628829,-0.007334698,-0.087205313,-0.097126573,-0.06901069,-0.111212581,-0.093672991,-0.0289573,-0.083562307,-0.065357141,-0.030119108,-0.13378039,-0.074553914,-0.026601037
3179,Q1462,24.62501061,-26.62493255,-0.081819132,0.075248875,-0.066778049,-0.08642371,-0.082577012,-0.068874344,-0.112378158,-0.098591253,-0.029822515,-0.090756051,-0.068266675,-0.030563492,-0.13747254,-0.088460684,-0.027985284
3180,Q1463,24.87501061,-26.62493255,-0.079018123,0.083963305,-0.09586785,-0.088641748,-0.089186743,-0.070386373,-0.118545182,-0.111694381,-0.03052119,-0.086317845,-0.080797553,-0.031656377,-0.140440628,-0.089505859,-0.028116111
3181,Q1464,25.12501061,-26.62493255,-0.021268275,0.079134695,-0.054556906,-0.040727474,-0.07473056,-0.047275685,-0.069858238,-0.096119992,-0.022023194,-0.046783183,-0.064609446,-0.021701774,-0.087474875,-0.068135664,-0.019847015
3182,Q1465,25.37501061,-26.62493255,0.021795478,0.090543263,-0.041892134,-0.018542534,-0.053296775,0.014567287,-0.052754041,-0.059150372,-0.001176154,-0.026149815,-0.040633883,-0.000555954,-0.075926483,-0.04388712,-0.002674624
3183,Q1466,25.62501061,-26.62493255,0.025294349,-0.232703745,-0.102287263,-0.017809685,0.004876817,-0.030519115,-0.050324772,-0.003580131,-0.020227509,-0.034499645,0.008490654,-0.0191657,-0.075371809,0.007758848,-0.019163871
3184,Q1467,25.87501061,-26.62493255,0.057652138,-0.231651828,-0.076498337,0.035664756,0.043527331,-0.004198814,0.009892043,0.041144896,-0.010732595,0.019117735,0.049986001,-0.009303235,-0.016790263,0.045321941,-0.009987043
3041,Q1492,20.12501061,-26.37493255,-0.240402326,0.151095673,-0.257877141,-0.345388532,-0.301669925,-0.029976889,-0.35888052,-0.318202347,-0.018242681,-0.315532446,-0.323601544,-0.024885226,-0.37872991,-0.338785887,-0.026289456
3042,Q1493,20.37501061,-26.37493255,-0.259301066,0.145677596,-0.24409014,-0.352654696,-0.299536616,-0.030042361,-0.370461464,-0.314418226,-0.018608423,-0.329332799,-0.320403755,-0.025248177,-0.392147034,-0.334599465,-0.026386833
3043,Q1494,20.62501061,-26.37493255,-0.258855402,0.152002931,-0.162290797,-0.358492523,-0.303442568,-0.003376702,-0.377098113,-0.304198533,-0.008786063,-0.336647123,-0.316501737,-0.015278612,-0.39849624,-0.330683291,-0.017594028
3049,Q1496,22.12501061,-26.37493255,-0.32005623,0.140834376,-0.123779014,-0.322311699,-0.299796432,0.014414337,-0.350309253,-0.282630384,-0.00565751,-0.299528182,-0.224677593,-0.006404791,-0.361118436,-0.236579522,-0.011285091
3050,Q1497,22.37501061,-26.37493255,-0.338356346,0.123857021,-0.092049532,-0.328597307,-0.288639098,-0.015334764,-0.351830274,-0.262596071,-0.01328689,-0.294827521,-0.20940426,-0.015249917,-0.362038612,-0.219374895,-0.015976487
3051,Q1498,22.62501061,-26.37493255,-0.359947205,0.102097899,-0.130767688,-0.311719447,-0.241794273,-0.042128716,-0.334076911,-0.217336357,-0.021394577,-0.282459199,-0.168406904,-0.023404283,-0.344154656,-0.169957876,-0.021532139
3052,Q1499,22.87501061,-26.37493255,-0.344266772,0.095625229,-0.113058485,-0.283939987,-0.209597945,-0.043949217,-0.307810634,-0.194697008,-0.02223433,-0.259457648,-0.148173526,-0.023965277,-0.319847107,-0.151142061,-0.021801902
3053,Q1500,23.12501061,-26.37493255,-0.331759095,0.090509653,-0.023170011,-0.270036548,-0.188438669,-0.042245194,-0.301230371,-0.163683459,-0.020925285,-0.257045329,-0.12336766,-0.022983523,-0.314327121,-0.126338229,-0.020371161
3054,Q1501,23.37501061,-26.37493255,-0.272022039,0.090817869,-0.025765572,-0.243835524,-0.150354549,-0.042733889,-0.271565586,-0.127104342,-0.021019896,-0.234482691,-0.105917528,-0.023697052,-0.287062973,-0.097072892,-0.02001453
3055,Q1502,23.62501061,-26.37493255,-0.251775682,0.091498293,-0.029177614,-0.223848864,-0.12286523,-0.045072924,-0.250077277,-0.108131669,-0.021974085,-0.220273733,-0.085683644,-0.023938622,-0.266569972,-0.078787521,-0.020112583
3056,Q1503,23.87501061,-26.37493255,-0.21612528,0.089055061,-0.024236813,-0.192015305,-0.106430247,-0.049394265,-0.214171261,-0.088352554,-0.022738796,-0.18862009,-0.072379723,-0.024990713,-0.239500523,-0.062136076,-0.02030259
3057,Q1504,24.12501061,-26.37493255,-0.166031137,0.08169049,-0.004203996,-0.157039791,-0.096909478,-0.056480065,-0.18563503,-0.076712452,-0.024457416,-0.156920314,-0.055744156,-0.026021939,-0.205139801,-0.055047091,-0.022008033
3058,Q1505,24.37501061,-26.37493255,-0.147993743,0.079975404,-0.001745796,-0.145118997,-0.084587246,-0.057847749,-0.17144011,-0.078644693,-0.025696121,-0.143272728,-0.056682587,-0.027116865,-0.197659791,-0.061840963,-0.023306618
3059,Q1506,24.62501061,-26.37493255,-0.113909289,0.068109624,-0.044877067,-0.112890452,-0.069897905,-0.063431762,-0.142213374,-0.070124529,-0.027145419,-0.116187848,-0.047837146,-0.028095942,-0.164432347,-0.055141654,-0.024701865
3060,Q1507,24.87501061,-26.37493255,-0.107915275,0.072187707,-0.05973373,-0.117380105,-0.054879341,-0.062175568,-0.14342013,-0.064313218,-0.027600175,-0.117946319,-0.04297721,-0.028480081,-0.16820091,-0.050473321,-0.02505815
3061,Q1508,25.12501061,-26.37493255,-0.069090195,0.075961903,0.027780859,-0.098539993,-0.038577296,-0.036252901,-0.128118098,-0.055035323,-0.017392939,-0.103915706,-0.03540922,-0.018173419,-0.149847001,-0.04276124,-0.014965057
3062,Q1509,25.37501061,-26.37493255,-0.037633102,0.0603486,0.011789852,-0.049236886,-0.002896727,-0.011853822,-0.080415793,-0.014889937,-0.009804246,-0.062032998,-0.000670757,-0.009224076,-0.103828587,-0.005496165,-0.008761748
3063,Q1510,25.62501061,-26.37493255,-0.016470576,0.07120619,-0.01970893,-0.036883246,0.02891916,-0.003978738,-0.057950549,0.025455412,-0.007837521,-0.045440592,0.032017931,-0.006069373,-0.082557946,0.030073678,-0.007019762
3064,Q1511,25.87501061,-26.37493255,0.038579024,0.085020408,-0.032998905,0.014419033,0.050825387,0.01995053,-0.012397316,0.054456968,0.001075256,-0.005014982,0.054088123,0.002619538,-0.036118712,0.053930171,0.001288682
